JourneyRef,Time,LineNumber,JourneyPointRef,StopPointId,ApcAlightingCount,AfcBoardingCount,AfcAlightingCount,UpstreamTimingPointAbbreviation,DownstreamTimingPointAbbreviation,LineDirectionCode,ApcBoardingCount
20200919L0326J0018,2020-09-19 19:22:31.0000000,326,20200919L0326J0018#027 ,45560,0,0,0,SKOF,SKOF,1,0
20200919L0326J0018,2020-09-19 19:23:43.0000000,326,20200919L0326J0018#028 ,45559,0,0,0,SKOF,FVST1,1,0
20200919L0326J0018,2020-09-19 19:24:32.0000000,326,20200919L0326J0018#029 ,7901,0,0,0,SKOF,FVST1,1,1
20200919L0326J0018,2020-09-19 19:25:30.0000000,326,20200919L0326J0018#030 ,7902,0,0,0,SKOF,FVST1,1,0
20200919L0326J0018,2020-09-19 19:31:20.0000000,326,20200919L0326J0018#031 ,52788,1,1,0,FVST1,FVST1,1,0
20200919L0326J0018,2020-09-19 19:32:00.0000000,326,20200919L0326J0018#032 ,8733,0,0,0,FVST1,HHVD,1,0
20200919L0326J0018,2020-09-19 19:32:00.0000000,326,20200919L0326J0018#033 ,8734,1,0,0,FVST1,HHVD,1,1
20200919L0326J0018,2020-09-19 19:33:00.0000000,326,20200919L0326J0018#034 ,8735,0,0,0,FVST1,HHVD,1,0
20200919L0326J0018,2020-09-19 19:34:00.0000000,326,20200919L0326J0018#035 ,8736,1,0,0,FVST1,HHVD,1,1
20200919L0326J0018,2020-09-19 19:40:21.0000000,326,20200919L0326J0018#037 ,7933,0,0,0,HHVD,HHVD,1,1
20200919L0326J0018,2020-09-19 19:40:45.0000000,326,20200919L0326J0018#038 ,8868,0,0,0,HHVD,AMGH,1,0
20200919L0326J0018,2020-09-19 19:41:26.0000000,326,20200919L0326J0018#039 ,8869,0,0,0,HHVD,AMGH,1,0
20200919L0326J0018,2020-09-19 19:43:16.0000000,326,20200919L0326J0018#040 ,8870,0,0,0,HHVD,AMGH,1,0
